"";"X1";"X2";"X3";"X4";"X5"
"Dim";7786;6247;1625;1127;145
"Age";20,9771384536347;21,0789178805827;21,2043076923077;21,0399290150843;21,7793103448276
"Genre";1,67990358243978;1,45512278230384;1,30392248804542;1,4702431014282;1,38637408568443
"Niveau";2,8694871737846;3,00533904152994;3,17568999870527;2,8922395173138;3,18768472906404
"StudyHuma";0,219624967891087;0,166639987193853;0,144;0,189884649511979;0,158620689655172
"StudyProf";0,0363472900077061;0,0251320633904274;0,0301538461538462;0,0248447204968944;0,0482758620689655
"StudyLawEco";0,181094271769843;0,221386265407396;0,207384615384615;0,244897959183673;0,248275862068966
"StudyScience";0,37169278191626;0,434608612133824;0,489230769230769;0,390417036379769;0,413793103448276
"StudyMed";0,134857436424351;0,0859612614054746;0,0627692307692308;0,0905057675244011;0,0758620689655172
"StudyAutre";0,0538145389160031;0,0611493516888106;0,0627692307692308;0,0567879325643301;0,0551724137931034
"FreqBinge";0,233520885438905;1,51061710626928;2,63080305777188;2,26997732337874;2,57931034482759
"NbMaxOcc";3,92545960340632;7,92354497683534;11,7980453151327;9,82565777390533;11,6521132837721
"FreqConso";1,33389710098675;2,23471121607347;2,95756444444444;2,52412250275604;2,52413793103448
"NbVerreMoy";0,669042020655088;1,44883032550539;2,01568679855704;1,76715891587216;1,99400206189895
"FreqSupSixVerre";0,743502569735377;1,69485216485332;2,41310497448193;2,12067455886416;2,30860020881903
"a1";0,0690487902169091;0,139138236743598;0,106716756112105;0,582076308784383;1,3448275862069
"a2";0,0739589584854429;0,197578016526267;0,253879546809779;0,82963620230701;1,43448275862069
"a3";0,0263014631089387;0,0953994219873206;0,139816656728285;0,296362023070098;0,903448275862069
"a4";0,0210663036498782;0,194436004620315;0,319077718147486;0,625554569653949;1,31034482758621
"a5";0,0189481593569415;0,187807980928995;0,329496322798648;0,754214729370009;1,28965517241379
"a6";0,0579131044532285;0,354521075119728;0,539609302325581;1,00709849157054;1,64827586206897
"a7";0,0466474439447977;0,0895555410545962;0,0456969331322273;0,446317657497782;1,20689655172414
"a8";0,0312683731103397;0,0911062003926546;0,0709699346405229;0,510204081632653;1,36551724137931
"a9";0,0106987610842757;0,0366956920822221;0,0296494720965309;0,247559893522626;1,29655172413793
"a10";0,026852231481144;0,161465729157463;0,227362493715435;0,648624667258208;1,57931034482759
"a11";0,0046667105564953;0,0216000909740304;0,0277769271926575;0,220150768247719;1,2
"a12";0,0197156539837703;0,06199500536513;0,072769560027987;0,443858890736955;1,42068965517241
"a13";0,0125717629149317;0,0710887154229016;0,116449273572869;0,349775338170238;1,11034482758621
"a14";0,0144561776869546;0,0346005490156231;0,0228465242622546;0,235283730679051;1,2
"a15";0,0408368907347319;0,173089298224702;0,280525693197357;0,715883705708764;1,44214559386973
"a16";0,00186407600594377;0,0166142233370964;0,0204061925081415;0,118312924242086;0,758850574712644
"a17";0,0261297177570912;0,228156519039297;0,590646413057208;0,730657740992218;1,63586206896552
"a18";0,00929551229383208;0,0803406762791869;0,247018732392046;0,404785722492907;1,37984674329502
"a19";0,0738657452536697;0,303488885130079;0,324442536275094;1,00840909228955;1,85291187739464
"a20";0,0229434775999498;0,0680083569596013;0,0581219411079876;0,506906122049477;1,51870279146141
"a21";0,018962165467264;0,0717058571953402;0,063124286566147;0,584809486769431;1,66379310344828
"a22";0,0813056019565967;0,312399826473392;0,467277019621206;0,908336377533054;1,61787082649152
"a23";0,0139417500681154;0,0640000509985809;0,0839682880427066;0,514463204421871;1,67030651340996
"a24";0,0667987809451962;0,235171285248092;0,271987989002347;0,673065178915997;1,32824277255312
"a25";0,0423890973865986;0,181480993141093;0,263915943263567;0,707964098207378;1,35567124446435
"a26";0,0304687695440257;0,189757398530023;0,357041871823267;0,878016924396559;1,7280188585361
"a27";0,0278030747349559;0,180912082566629;0,311941530708366;0,766656449447333;1,63846071552968
"a28";0,00404306121472621;0,0196370462279897;0,0820878636360551;0,16918854497144;1,12598893232844
"a29";0,0317641859081681;0,153978031513712;0,304362473044225;0,593685220204442;1,45997481600978
"a30";0,00405554782563127;0,0209791015934371;0,114897525504862;0,23782739737142;1,20874435056311
"a31";0,00682077178498269;0,0388977038679568;0,172816603405686;0,267832800771564;1,13363038344259
"a32";0,0356273385864909;0,183496015638456;0,295237133596671;0,741155845814324;1,55100595031973
"a33";0,113808302532043;0,368162812108439;0,448096056746184;1,09827405021914;1,72092562027176
"a34";0,216129851336703;0,703043733468068;0,914045348404797;1,52464118333995;1,88088584294299
"Etudes";0,0285428987724367;0,154772269437391;0,327492227053797;0,677161059309934;1,41913955104496
"Tabac";0,792756266591892;1,62878007880446;2,07487078487318;1,98272199076919;2,05843287882239
"Cannabis";0,379895510625609;1,04913692047534;1,57063959281117;1,44042269653207;1,50887107639411
"Cocaine";0,0179802124591223;0,0920788665872681;0,186480013221247;0,174165362125943;0,470199831375448
"Heroine";0,00672999067974172;0,0316932364632068;0,0408123601988127;0,0446741211298273;0,232418923817996
"MD";0,0242346931567061;0,134793888732263;0,271278003171353;0,266439985868864;0,519495794848829
"Poppers";0,0781059680625674;0,278709192508855;0,494799103434447;0,421561815120212;0,614014352384039
"Jeu";0,387835017801368;0,545452026408023;0,6821663465845;0,647830021313881;0,92823619797836
"FeteImagePerso";1,30980553041128;1,85224115454371;4,01867676582438;2,73520429076958;3,95203058660321
"FeteEtre";1,22552483985347;1,60889086237192;3,71189305371788;2,36257358109816;3,59190777847695
"FetePerso";1,26238322294023;1,69955989663606;3,81238389553387;2,48081239428097;3,64093874669484
"FeteQuotidien";1,17015728394997;1,55816534582821;3,06771954329398;2,34617948972162;3,55177108095007
"FeteImageAutre";1,24107952692179;1,70487831991381;3,86460495949772;2,78675701037434;4,27377727755774
"Mobilite";1,01482472747247;1,02871490541202;1,0333006406255;1,09967162774853;1,32685533638343
"Autonomie";1,00396381226876;1,00613775305333;1,00890539836325;1,03717063677436;1,27743959749325
"Habitudes";1,025954067837;1,05253881709856;1,05403080758732;1,26701359954618;1,63510897049127
"Douleur";1,09058694170294;1,12278842314163;1,12615410565368;1,36391099109916;1,62640952061891
"Depression";1,27533665123078;1,32594008565232;1,29888911483024;1,74628985736149;2,04174229078207
"LogFamille";0,244027742101207;0,139587001760845;0,203076923076923;0,19698314108252;0,206896551724138
"LogInd";0,435653737477524;0,355370577877381;0,560615384615385;0,494232475598935;0,441379310344828
"LogRes";0,163755458515284;0,130942852569233;0,189538461538462;0,205856255545697;0,186206896551724
"LogAutre";0,00359619830464937;0,00224107571634385;0,00676923076923077;0,0106477373558119;0,0482758620689655
